PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2013,40,1.15746,1.13249,2974,1840,X,3769,638,456,9677,1960,854487
National,X,2013,41,1.27184,1.21121,3276,1924,X,3925,762,533,10420,1990,860298
National,X,2013,42,1.31623,1.25682,3483,2010,X,3880,785,500,10658,2018,848016
National,X,2013,43,1.37444,1.37097,3930,2292,X,4484,816,514,12036,2027,877917
National,X,2013,44,1.46781,1.42956,4045,2354,X,4642,930,531,12502,2028,874537
National,X,2013,45,1.5834,1.53588,4434,2511,X,5062,953,538,13498,2017,878845
National,X,2013,46,1.60253,1.60267,4643,2716,X,5000,990,578,13927,2054,868987
National,X,2013,47,1.72344,1.73267,4835,3088,X,5579,1083,583,15168,2012,875411
National,X,2013,48,2.11076,2.09858,4937,3027,X,4313,1059,639,13975,2042,665926
National,X,2013,49,2.1708,2.21374,5549,4375,X,6579,1552,865,18920,2055,854664
National,X,2013,50,2.36971,2.41674,5501,4458,X,7046,1591,802,19398,2054,802651
National,X,2013,51,3.15997,3.03071,6555,6525,X,8406,2272,939,24697,2009,814891
National,X,2013,52,4.59053,4.38724,7814,7499,X,7485,2874,1316,26988,2007,615148
National,X,2014,1,4.28195,4.2112,7488,9135,X,6726,3555,1750,28654,2033,680424
National,X,2014,2,3.56288,3.46492,6233,8846,X,7881,3565,1622,28147,2059,812343
National,X,2014,3,3.36378,3.31698,6007,8091,X,9517,3149,1606,28370,2049,855297
National,X,2014,4,3.39659,3.2407,5878,6818,X,8858,2616,1332,25502,2062,786928
National,X,2014,5,3.11922,2.88598,5133,6031,X,8714,2403,1203,23484,2051,813726
National,X,2014,6,2.83572,2.62172,4729,5278,X,7711,2242,1125,21085,2051,804244
National,X,2014,7,2.48484,2.34067,4210,4470,X,6717,1829,969,18195,2018,777340
National,X,2014,8,2.2741,2.12059,4250,4306,X,6121,1684,873,17234,2025,812700
National,X,2014,9,2.07244,1.91094,3953,3691,X,5875,1505,890,15914,1978,832786
National,X,2014,10,1.98207,1.9023,3775,3472,X,5575,1430,792,15044,1944,790831
National,X,2014,11,1.82441,1.76619,3616,3210,X,5022,1360,816,14024,1904,794024
National,X,2014,12,1.82036,1.85791,3798,3285,X,5611,1422,810,14926,1922,803374
National,X,2014,13,1.75391,1.82094,3523,3256,X,5812,1298,772,14661,1887,805133
National,X,2014,14,1.74542,1.83453,3582,3153,X,5659,1436,807,14637,1866,797863
National,X,2014,15,1.67236,1.75446,3574,2943,X,5587,1316,786,14206,1845,809707
National,X,2014,16,1.51659,1.51636,3130,2516,X,4279,1088,710,11723,1810,773101
National,X,2014,17,1.44778,1.40334,2846,2504,X,3770,1036,658,10814,1771,770592
National,X,2014,18,1.29028,1.2593,2501,2084,X,3591,913,559,9648,1746,766139
National,X,2014,19,1.37388,1.32482,2789,2009,X,3615,834,528,9775,1714,737834
National,X,2014,20,1.34208,1.27576,2544,1876,X,3256,825,532,9033,1660,708049
National,X,2014,21,1.34563,1.29483,2733,1742,X,3068,771,483,8797,1570,679395
National,X,2014,22,1.21291,1.2261,2528,1542,X,2459,625,504,7658,1554,624582
National,X,2014,23,1.19291,1.14538,2383,1492,X,2349,607,398,7229,1461,631143
National,X,2014,24,1.14146,1.0678,2227,1413,X,2181,561,401,6783,1461,635233
National,X,2014,25,1.06503,1.07269,2159,1285,X,2009,528,388,6369,1392,593740
National,X,2014,26,1.12669,1.01298,2049,1235,X,1917,509,328,6038,1411,596063
National,X,2014,27,0.947353,0.994705,1865,1075,X,1688,416,308,5352,1388,538049
National,X,2014,28,0.944187,0.880862,1758,1122,X,1623,441,351,5295,1394,601116
National,X,2014,29,0.934822,0.858173,1582,1116,X,1621,403,361,5083,1376,592305
National,X,2014,30,0.81736,0.805152,1455,1128,X,1450,398,334,4765,1372,591814
National,X,2014,31,0.852792,0.818781,1450,1094,X,1655,417,326,4942,1378,603580
National,X,2014,32,0.746994,0.783735,1460,1074,X,1528,409,273,4744,1382,605307
National,X,2014,33,0.761098,0.848703,1528,1107,X,1631,403,311,4980,1369,586778
National,X,2014,34,0.767627,0.834146,1569,1196,X,1813,412,315,5305,1371,635980
National,X,2014,35,0.862176,0.905981,1684,1223,X,2184,401,307,5799,1353,640080
National,X,2014,36,0.984907,1.04506,1753,1284,X,2258,453,302,6050,1352,578913
National,X,2014,37,1.16287,1.16816,2300,1550,X,3316,568,396,8130,1401,695966
National,X,2014,38,1.22731,1.27649,2535,1705,X,3650,605,393,8888,1405,696282
National,X,2014,39,1.2071,1.29758,2522,1820,X,3447,657,428,8874,1407,683887
National,X,2014,40,1.16191,1.20612,2958,1959,X,3994,712,527,10150,1937,841540
National,X,2014,41,1.30905,1.32485,3055,2116,X,4437,821,548,10977,1960,828544
National,X,2014,42,1.37072,1.41192,3442,2321,X,4728,870,580,11941,2000,845727
National,X,2014,43,1.43373,1.42547,3455,2459,X,4955,892,531,12292,2008,862314
National,X,2014,44,1.42791,1.43909,3632,2242,X,5102,807,530,12313,2053,855608
National,X,2014,45,1.61605,1.61532,4277,2349,X,5799,863,565,13853,2058,857601
National,X,2014,46,1.65976,1.66473,4424,2323,X,5816,911,588,14062,1997,844700
National,X,2014,47,2.05459,2.0058,4740,2921,X,7322,1049,642,16674,2058,831289
National,X,2014,48,2.53541,2.62227,5432,3277,X,6848,1165,880,17602,2067,671251
National,X,2014,49,2.54253,2.60749,6185,4623,X,9106,1767,1224,22905,2097,878430
National,X,2014,50,3.60563,3.4178,7424,5287,X,13050,1970,1441,29172,2069,853532
National,X,2014,51,4.90976,4.46555,9270,6920,X,16418,2671,2103,37382,2016,837119
National,X,2014,52,5.98221,6.11497,10363,8982,X,13951,3718,3519,40533,1984,662849
National,X,2014,53,5.47421,5.30979,9732,9348,X,9406,4288,4117,36891,1983,694773
National,X,2015,1,4.21374,4.07898,7160,8072,X,9589,3614,3048,31483,1958,771835
National,X,2015,2,4.21022,3.93762,7044,6946,X,11966,2909,2339,31204,1971,792459
National,X,2015,3,4.25968,4.15076,7840,6451,X,13949,2951,2030,33221,1966,800359
National,X,2015,4,3.97761,3.87899,7118,5844,X,13159,2585,1915,30621,1955,789407
National,X,2015,5,3.63443,3.45794,6656,5380,X,12093,2368,1654,28151,1950,814097
National,X,2015,6,3.26527,3.06359,6429,4884,X,10328,2072,1505,25218,1917,823153
National,X,2015,7,2.93083,2.82646,5537,4295,X,8164,1842,1271,21109,1907,746836
National,X,2015,8,2.54474,2.3599,4823,4061,X,7280,1765,1249,19178,1934,812660
National,X,2015,9,2.47227,2.33472,4639,3914,X,7116,1696,1076,18441,1912,789858
National,X,2015,10,2.35665,2.21286,4710,3654,X,6748,1654,1067,17833,1907,805881
National,X,2015,11,2.17008,2.07619,4559,3482,X,6084,1573,997,16695,1883,804117
National,X,2015,12,2.04297,2.01267,4418,3284,X,6003,1486,931,16122,1848,801027
National,X,2015,13,1.954,1.94192,4174,2968,X,5623,1321,889,14975,1819,771143
National,X,2015,14,1.72287,1.74809,3903,2931,X,4634,1387,878,13733,1820,785602
National,X,2015,15,1.53694,1.50367,3448,2448,X,4214,1160,774,12044,1813,800974
National,X,2015,16,1.38283,1.43494,3182,2052,X,4011,975,640,10860,1768,756827
National,X,2015,17,1.46265,1.45673,3203,2122,X,4280,888,602,11095,1753,761638
National,X,2015,18,1.38934,1.42836,3106,2074,X,4079,846,589,10694,1735,748690
National,X,2015,19,1.3468,1.35297,2805,1810,X,3641,813,602,9671,1688,714799
National,X,2015,20,1.25452,1.33093,2754,1768,X,3296,736,470,9024,1622,678023
National,X,2015,21,1.21636,1.28422,2593,1461,X,2714,652,493,7913,1579,616171
National,X,2015,22,1.16734,1.13889,2211,1334,X,2345,594,462,6946,1505,609891
National,X,2015,23,1.04654,1.10343,2109,1320,X,2284,575,456,6744,1455,611184
National,X,2015,24,0.943661,0.970748,1734,1167,X,2046,495,408,5850,1459,602628
National,X,2015,25,0.935046,0.998681,1897,1170,X,1921,496,429,5913,1445,592081
National,X,2015,26,0.934726,0.978057,1678,1043,X,1701,430,380,5232,1417,534938
National,X,2015,27,0.864118,0.866431,1546,1081,X,1675,443,371,5116,1428,590468
National,X,2015,28,0.806535,0.827757,1487,1028,X,1609,405,341,4870,1411,588337
National,X,2015,29,0.742747,0.797572,1383,1011,X,1498,413,321,4626,1401,580010
National,X,2015,30,0.737859,0.811221,1415,999,X,1459,432,300,4605,1352,567663
National,X,2015,31,0.743224,0.821165,1392,1026,X,1590,420,325,4753,1364,578812
National,X,2015,32,0.805251,0.819435,1330,1062,X,1667,400,291,4750,1340,579668
National,X,2015,33,0.816943,0.848041,1429,1134,X,1815,436,359,5173,1356,609994
National,X,2015,34,0.814518,0.888524,1687,1151,X,2033,423,354,5648,1362,635661
National,X,2015,35,0.86067,0.962826,1636,1230,X,2292,481,324,5963,1354,619323
National,X,2015,36,0.886704,1.02252,1714,1297,X,2169,461,329,5970,1349,583853
National,X,2015,37,1.00845,1.08392,1993,1392,X,2744,536,397,7062,1369,651524
National,X,2015,38,1.06625,1.17724,2178,1520,X,2947,627,432,7704,1367,654414
National,X,2015,39,1.05995,1.1716,2170,1654,X,2746,652,404,7626,1332,650904
