Category: All categories

Region,"cold symptoms: (10/4/24, 11:27 AM - 10/5/24, 11:27 AM)"
Wyoming,100
New Hampshire,68
Delaware,54
West Virginia,53
Maine,50
Connecticut,50
Iowa,50
Washington,50
Oregon,49
North Carolina,49
Minnesota,48
Pennsylvania,47
Nebraska,46
Massachusetts,46
Kansas,46
Maryland,44
Michigan,44
New Jersey,44
Kentucky,42
Rhode Island,41
Wisconsin,41
Colorado,40
Missouri,40
Illinois,39
Utah,39
Virginia,37
Texas,36
New Mexico,36
California,35
Arizona,35
Ohio,35
New York,35
Mississippi,34
Arkansas,33
South Carolina,33
Georgia,33
Tennessee,32
Alabama,30
Florida,30
Indiana,30
Oklahoma,29
Nevada,27
Louisiana,16
North Dakota,
Montana,
Idaho,
South Dakota,
Hawaii,
Vermont,
District of Columbia,
Alaska,
