Month,congestion
2015-09,32
2015-10,32
2015-11,34
2015-12,39
2016-01,43
2016-02,44
2016-03,40
2016-04,34
2016-05,31
2016-06,25
2016-07,23
2016-08,26
2016-09,36
2016-10,34
2016-11,38
2016-12,48
2017-01,52
2017-02,52
2017-03,42
2017-04,38
2017-05,36
2017-06,28
2017-07,24
2017-08,27
2017-09,38
2017-10,37
2017-11,44
2017-12,57
2018-01,61
2018-02,55
2018-03,47
2018-04,40
2018-05,35
2018-06,31
2018-07,27
2018-08,30
2018-09,40
2018-10,41
2018-11,47
2018-12,56
2019-01,59
2019-02,59
2019-03,54
2019-04,48
2019-05,40
2019-06,33
2019-07,27
2019-08,28
2019-09,42
2019-10,41
2019-11,46
2019-12,59
2020-01,60
2020-02,57
2020-03,67
2020-04,40
2020-05,25
2020-06,28
2020-07,37
2020-08,33
2020-09,37
2020-10,45
2020-11,47
2020-12,53
2021-01,49
2021-02,41
2021-03,38
2021-04,44
2021-05,45
2021-06,44
2021-07,51
2021-08,60
2021-09,62
2021-10,60
2021-11,70
2021-12,83
2022-01,100
2022-02,55
2022-03,60
2022-04,60
2022-05,62
2022-06,56
2022-07,51
2022-08,53
2022-09,63
2022-10,65
2022-11,83
2022-12,90
2023-01,75
2023-02,71
2023-03,62
2023-04,57
2023-05,55
2023-06,45
2023-07,41
2023-08,44
2023-09,60
2023-10,64
2023-11,74
2023-12,99
2024-01,84
2024-02,80
2024-03,70
2024-04,63
2024-05,57
2024-06,58
2024-07,43
2024-08,49
2024-09,57
