Category: All categories

Region,flu: (9/7/23 - 9/7/24)
Mississippi,100
West Virginia,93
Alabama,92
Kentucky,92
South Carolina,91
Arkansas,91
Louisiana,88
North Carolina,86
Tennessee,85
Oklahoma,85
Georgia,81
Rhode Island,79
Vermont,78
Connecticut,77
Texas,75
New Mexico,74
Virginia,74
Maryland,74
Ohio,73
Missouri,73
Delaware,73
Hawaii,73
New Hampshire,72
New Jersey,72
Indiana,72
Pennsylvania,71
Massachusetts,71
Montana,70
Michigan,69
Colorado,67
California,67
New York,67
Florida,67
District of Columbia,67
Utah,65
Illinois,65
Maine,65
Kansas,64
Iowa,64
Idaho,62
Minnesota,62
Arizona,62
Wisconsin,62
Alaska,61
Washington,61
Nebraska,60
North Dakota,59
Nevada,58
Wyoming,56
South Dakota,55
Oregon,55
