Category: All categories

Week,flu: (United States)
2023-09-03,36
2023-09-10,44
2023-09-17,52
2023-09-24,58
2023-10-01,59
2023-10-08,61
2023-10-15,60
2023-10-22,56
2023-10-29,57
2023-11-05,56
2023-11-12,59
2023-11-19,50
2023-11-26,60
2023-12-03,61
2023-12-10,75
2023-12-17,100
2023-12-24,99
2023-12-31,84
2024-01-07,67
2024-01-14,56
2024-01-21,60
2024-01-28,57
2024-02-04,58
2024-02-11,56
2024-02-18,56
2024-02-25,51
2024-03-03,46
2024-03-10,39
2024-03-17,36
2024-03-24,34
2024-03-31,42
2024-04-07,32
2024-04-14,28
2024-04-21,33
2024-04-28,32
2024-05-05,26
2024-05-12,24
2024-05-19,25
2024-05-26,21
2024-06-02,24
2024-06-09,21
2024-06-16,22
2024-06-23,18
2024-06-30,18
2024-07-07,18
2024-07-14,19
2024-07-21,18
2024-07-28,19
2024-08-04,20
2024-08-11,22
2024-08-18,27
2024-08-25,29
2024-09-01,35
