Month,Flu shot: (United States)
2015-09,20
2015-10,50
2015-11,25
2015-12,11
2016-01,7
2016-02,5
2016-03,4
2016-04,2
2016-05,2
2016-06,1
2016-07,1
2016-08,4
2016-09,25
2016-10,45
2016-11,23
2016-12,13
2017-01,11
2017-02,9
2017-03,4
2017-04,3
2017-05,2
2017-06,2
2017-07,2
2017-08,6
2017-09,28
2017-10,46
2017-11,29
2017-12,21
2018-01,44
2018-02,26
2018-03,5
2018-04,3
2018-05,2
2018-06,2
2018-07,2
2018-08,6
2018-09,34
2018-10,81
2018-11,39
2018-12,19
2019-01,17
2019-02,12
2019-03,7
2019-04,3
2019-05,2
2019-06,2
2019-07,2
2019-08,6
2019-09,37
2019-10,80
2019-11,43
2019-12,27
2020-01,26
2020-02,19
2020-03,18
2020-04,7
2020-05,6
2020-06,3
2020-07,5
2020-08,21
2020-09,77
2020-10,100
2020-11,42
2020-12,22
2021-01,12
2021-02,8
2021-03,7
2021-04,7
2021-05,4
2021-06,3
2021-07,4
2021-08,14
2021-09,48
2021-10,76
2021-11,48
2021-12,30
2022-01,13
2022-02,5
2022-03,4
2022-04,3
2022-05,2
2022-06,2
2022-07,2
2022-08,6
2022-09,36
2022-10,78
2022-11,51
2022-12,29
2023-01,8
2023-02,4
2023-03,3
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,8
2023-09,34
2023-10,53
2023-11,29
2023-12,18
2024-01,10
2024-02,5
2024-03,3
2024-04,2
2024-05,2
2024-06,2
2024-07,2
2024-08,8
2024-09,30
