Category: All categories

Month,Flu symptoms: (United States)
2015-09,7
2015-10,10
2015-11,10
2015-12,11
2016-01,11
2016-02,15
2016-03,17
2016-04,10
2016-05,6
2016-06,4
2016-07,3
2016-08,4
2016-09,7
2016-10,9
2016-11,9
2016-12,13
2017-01,20
2017-02,29
2017-03,16
2017-04,9
2017-05,5
2017-06,5
2017-07,4
2017-08,4
2017-09,7
2017-10,10
2017-11,14
2017-12,27
2018-01,100
2018-02,83
2018-03,22
2018-04,11
2018-05,6
2018-06,5
2018-07,4
2018-08,5
2018-09,8
2018-10,14
2018-11,15
2018-12,19
2019-01,28
2019-02,35
2019-03,26
2019-04,12
2019-05,7
2019-06,5
2019-07,4
2019-08,5
2019-09,9
2019-10,14
2019-11,19
2019-12,31
2020-01,43
2020-02,45
2020-03,52
2020-04,10
2020-05,5
2020-06,5
2020-07,5
2020-08,4
2020-09,6
2020-10,9
2020-11,9
2020-12,10
2021-01,8
2021-02,5
2021-03,5
2021-04,5
2021-05,4
2021-06,4
2021-07,5
2021-08,6
2021-09,7
2021-10,9
2021-11,12
2021-12,21
2022-01,19
2022-02,8
2022-03,10
2022-04,11
2022-05,10
2022-06,7
2022-07,6
2022-08,6
2022-09,8
2022-10,17
2022-11,38
2022-12,38
2023-01,15
2023-02,11
2023-03,9
2023-04,7
2023-05,6
2023-06,5
2023-07,4
2023-08,5
2023-09,8
2023-10,11
2023-11,15
2023-12,27
2024-01,23
2024-02,19
2024-03,12
2024-04,9
2024-05,7
2024-06,6
2024-07,5
2024-08,6
2024-09,7
