Category: All categories

Month,influenza: (United States)
2015-09,8
2015-10,10
2015-11,9
2015-12,9
2016-01,9
2016-02,17
2016-03,21
2016-04,13
2016-05,7
2016-06,4
2016-07,3
2016-08,4
2016-09,7
2016-10,8
2016-11,8
2016-12,10
2017-01,18
2017-02,32
2017-03,21
2017-04,13
2017-05,7
2017-06,5
2017-07,4
2017-08,4
2017-09,8
2017-10,10
2017-11,11
2017-12,23
2018-01,60
2018-02,53
2018-03,22
2018-04,13
2018-05,7
2018-06,4
2018-07,3
2018-08,4
2018-09,8
2018-10,12
2018-11,11
2018-12,15
2019-01,23
2019-02,33
2019-03,32
2019-04,15
2019-05,8
2019-06,5
2019-07,4
2019-08,4
2019-09,9
2019-10,12
2019-11,13
2019-12,28
2020-01,53
2020-02,71
2020-03,100
2020-04,40
2020-05,22
2020-06,10
2020-07,15
2020-08,11
2020-09,14
2020-10,15
2020-11,13
2020-12,14
2021-01,10
2021-02,9
2021-03,8
2021-04,8
2021-05,7
2021-06,6
2021-07,6
2021-08,9
2021-09,11
2021-10,10
2021-11,11
2021-12,18
2022-01,19
2022-02,12
2022-03,15
2022-04,17
2022-05,14
2022-06,8
2022-07,6
2022-08,6
2022-09,9
2022-10,15
2022-11,36
2022-12,47
2023-01,15
2023-02,11
2023-03,10
2023-04,9
2023-05,8
2023-06,6
2023-07,5
2023-08,6
2023-09,10
2023-10,12
2023-11,16
2023-12,27
2024-01,25
2024-02,30
2024-03,22
2024-04,17
2024-05,9
2024-06,11
2024-07,6
2024-08,7
2024-09,9
