Category: All categories

Month,nose congestion: (United States)
2015-09,25
2015-10,24
2015-11,23
2015-12,30
2016-01,32
2016-02,33
2016-03,30
2016-04,24
2016-05,24
2016-06,19
2016-07,18
2016-08,19
2016-09,28
2016-10,28
2016-11,30
2016-12,38
2017-01,43
2017-02,47
2017-03,36
2017-04,32
2017-05,29
2017-06,23
2017-07,19
2017-08,23
2017-09,32
2017-10,29
2017-11,39
2017-12,49
2018-01,49
2018-02,46
2018-03,39
2018-04,33
2018-05,31
2018-06,26
2018-07,23
2018-08,26
2018-09,37
2018-10,32
2018-11,39
2018-12,52
2019-01,51
2019-02,49
2019-03,47
2019-04,37
2019-05,34
2019-06,27
2019-07,21
2019-08,27
2019-09,36
2019-10,34
2019-11,40
2019-12,53
2020-01,55
2020-02,49
2020-03,60
2020-04,39
2020-05,26
2020-06,30
2020-07,45
2020-08,40
2020-09,42
2020-10,50
2020-11,56
2020-12,62
2021-01,58
2021-02,48
2021-03,44
2021-04,52
2021-05,55
2021-06,54
2021-07,61
2021-08,74
2021-09,75
2021-10,67
2021-11,78
2021-12,89
2022-01,100
2022-02,63
2022-03,64
2022-04,64
2022-05,68
2022-06,57
2022-07,51
2022-08,53
2022-09,59
2022-10,64
2022-11,77
2022-12,90
2023-01,73
2023-02,70
2023-03,63
2023-04,57
2023-05,59
2023-06,42
2023-07,37
2023-08,45
2023-09,63
2023-10,59
2023-11,74
2023-12,87
2024-01,79
2024-02,74
2024-03,64
2024-04,60
2024-05,52
2024-06,43
2024-07,40
2024-08,50
2024-09,59
