Month,runny nose: (United States)
2015-09,32
2015-10,26
2015-11,25
2015-12,30
2016-01,35
2016-02,37
2016-03,31
2016-04,28
2016-05,27
2016-06,22
2016-07,18
2016-08,24
2016-09,34
2016-10,29
2016-11,31
2016-12,40
2017-01,42
2017-02,47
2017-03,36
2017-04,31
2017-05,29
2017-06,21
2017-07,20
2017-08,26
2017-09,35
2017-10,31
2017-11,35
2017-12,44
2018-01,49
2018-02,47
2018-03,39
2018-04,33
2018-05,31
2018-06,25
2018-07,23
2018-08,30
2018-09,37
2018-10,33
2018-11,38
2018-12,46
2019-01,47
2019-02,45
2019-03,42
2019-04,36
2019-05,33
2019-06,26
2019-07,22
2019-08,28
2019-09,39
2019-10,35
2019-11,38
2019-12,48
2020-01,49
2020-02,50
2020-03,100
2020-04,43
2020-05,27
2020-06,28
2020-07,47
2020-08,44
2020-09,47
2020-10,53
2020-11,57
2020-12,59
2021-01,50
2021-02,46
2021-03,44
2021-04,49
2021-05,51
2021-06,50
2021-07,55
2021-08,66
2021-09,74
2021-10,68
2021-11,71
2021-12,80
2022-01,76
2022-02,54
2022-03,63
2022-04,59
2022-05,58
2022-06,45
2022-07,42
2022-08,48
2022-09,57
2022-10,56
2022-11,66
2022-12,71
2023-01,57
2023-02,61
2023-03,51
2023-04,48
2023-05,45
2023-06,36
2023-07,30
2023-08,41
2023-09,57
2023-10,49
2023-11,57
2023-12,69
2024-01,63
2024-02,61
2024-03,49
2024-04,45
2024-05,42
2024-06,33
2024-07,32
2024-08,39
2024-09,50
