Category: All categories

Month,Sick leave laws: (United States)
2015-09,28
2015-10,19
2015-11,28
2015-12,26
2016-01,25
2016-02,26
2016-03,22
2016-04,27
2016-05,20
2016-06,24
2016-07,24
2016-08,25
2016-09,22
2016-10,23
2016-11,27
2016-12,29
2017-01,35
2017-02,23
2017-03,25
2017-04,28
2017-05,25
2017-06,26
2017-07,25
2017-08,21
2017-09,21
2017-10,20
2017-11,25
2017-12,28
2018-01,41
2018-02,34
2018-03,26
2018-04,25
2018-05,30
2018-06,23
2018-07,22
2018-08,25
2018-09,25
2018-10,29
2018-11,26
2018-12,27
2019-01,34
2019-02,29
2019-03,29
2019-04,28
2019-05,28
2019-06,25
2019-07,29
2019-08,26
2019-09,22
2019-10,25
2019-11,20
2019-12,27
2020-01,36
2020-02,31
2020-03,100
2020-04,31
2020-05,18
2020-06,18
2020-07,24
2020-08,18
2020-09,21
2020-10,25
2020-11,24
2020-12,29
2021-01,33
2021-02,22
2021-03,24
2021-04,27
2021-05,20
2021-06,21
2021-07,21
2021-08,22
2021-09,22
2021-10,21
2021-11,19
2021-12,27
2022-01,41
2022-02,31
2022-03,23
2022-04,21
2022-05,26
2022-06,27
2022-07,26
2022-08,28
2022-09,27
2022-10,24
2022-11,29
2022-12,34
2023-01,32
2023-02,31
2023-03,29
2023-04,23
2023-05,24
2023-06,27
2023-07,25
2023-08,29
2023-09,26
2023-10,34
2023-11,32
2023-12,38
2024-01,49
2024-02,33
2024-03,35
2024-04,29
2024-05,29
2024-06,27
2024-07,26
2024-08,29
2024-09,29
